Text,Polarity
কর্মীরা অত্যন্ত ভালো ব্যবহার করে যা আমাক অনেক মুগ্ধ করেছে,excellent
আমি তাদের বুফে ডিনার পছন্দ করি যে আইটেমগুলোতে কলো ভুনাও অন্তর্ভুক্ত ছিলো,good
এখানে কোনো সস সালাদ কাঁচা ঝালের ব্যবস্থা নেই,bad
ভালোই ট্রাই করতে পারো,good
এখানে কম দামে ভালো খাবার পাওয়া যায়,good
খুব ধীর পরিষেবা এবং খুব খারাপ আচরণ,bad
দাম সবচেয়ে কম,good
খুব সৃজনশীল অভ্যন্তর সহ দুর্দান্ত খাবার,excellent
আবার আসবো এখানে,good
ভালো পরিষেবা সঙ্গে ভালো খাবার,good
তারা জানেই না কিভাবে গ্রাহকদের সাথে আচরণ করতে হয়,bad
খুব যুক্তিসঙ্গত দাম এবং খুব সুস্বাদু খাবার,excellent
শহরে সেরা চ্যাপ,good
তাদের সার্ভিস খুব হতাশ করেছে আমাকে,bad
এখানকার চ্যাপ সত্যিই দুর্দান্ত,excellent
পরিবেশ অনেক ভালো ছিলো,good
পরিষেবা দুর্দান্ত ছিলো,excellent
আমি তাদের জায়গা এবং আচরণ পছন্দ করি,good
খাবারটি উপভোগ করেছি এবং সামগ্রিক পরিবেশন এবং পরিষেবাটি দুর্দান্ত ছিলো,excellent
খুবই বাজে খাবার একবার খেয়ে যাওয়ার স্বাদ মিটে গেছে,bad
অভ্যন্তরটি খুব আরামদায়ক,good
তাদের আতিথেয়তা আশ্চর্যজনক ছিলো,excellent
আর না,bad
পরিষেবা এবং বিশেষভাবে খাঁটি স্বাদ,good
দাম কিছুটা বেশি,bad
যুক্তিসঙ্গত দাম সহ খাবারটি আসলে ভালো ছিলো,good
সামগ্রিক অভিজ্ঞতা আশ্চর্যজনক,excellent
এক কথায় চমৎকার,excellent
খাবারগুলো বেশ ভালো ছিলো,good
তারা তাদের গ্রাহকদের ব্যাপারে খুব যত্নশীল,good
খাবার অনেক পছন্দ হয়েছে,excellent
জায়গাও খুব ছোট,bad
ভালো মানের এবং সর্বনিম্ন দাম ছিলো,good
খাবারগুলো দুর্দান্ত,excellent
লেবু পানি অনেক ভালো ছিলো,good
আমি সত্যিই সন্তুষ্ট তাদের ব্যবহারে,excellent
ওয়েটারদের গ্রাহকদের প্রতি আরও মনোযোগী হওয়া দরকার,bad
কর্মীরা বন্ধুত্বপূর্ণ ছিলো এবং পরিবেশনার উদ্ভাবনী ছিলো,good
ভালো তবে সেরা নয়,good
এখানকার কালাভুনাটা খুব ভালো,excellent
যদিও খাবারটি আমার পছন্দ অনুসারে খানিকটা খারাপ ছিলো,bad
খাবারগুলো অত্যন্ত সুস্বাদু ছিলো,excellent
খাওয়া তেমন ভালো না,bad
লেবু পানি অনেক মুখরোচক ছিলো,excellent
ঠিক আছে মনে হচ্ছে,good
স্বাস্থ্যকর খাবার খাওয়ার এক দুর্দান্ত জায়গা,excellent
খাবারের পরিমাণ ও স্বাদ দুইটাই দামের তুলনায় কিছুই না,bad
খাবারের মান খুব ভালো,excellent
খাবার থেকে শুরু করে সব কিছু ফালতু,bad
যুক্তিসঙ্গত দামে সেরা চ্যাপ,excellent
আমি লেবু পানি মিস করলাম,bad
বাকি সবকিছুই ভালো ছিলো,good
আমার অভিজ্ঞতা অনুসারে সবচেয়ে খারাপ চ্যাপ,bad
আমার প্রিয় জায়গা,good
