review,polarity,division
able play youtube alexa,0.5,positive
able recognize indian accent really well drop function helpful call device talk person near device smart plug schedule work seamlessly con would sound kindloud but lack clarity mid frequency need tweeked optimum clarity rarely device doesnt respond call alexa,0.2794,positive
absolute smart device amazon connect external sub woofer sound amaze recons voice even close room like almost collection songs english hindi must quite moneys worth,0.1827,positive
absolutely amaze new member family control home voice connect home anywhere world,0.3682,positive
absolutely amaze previously sceptical invest money but arrive worth ityou absolutely buy wont regret cheer,0.2333,positive
absolutely cheat customer if buy amazon product definitely want buy amazon prime members also case if song want play absolutely need amazon prime membership otherwise can not play music app no google apps not work amazon alexa if anybody want amazon alexa go google home everything also free cost app,0.135,positive
absolutely house hold item fair price intuitive speech recognition superb use hindi english sometimes hinglish also big thank amazon team even place draw room call alexa bedroom ears us play favourite songs flawlessly overall best fit must guess guests visit us purchase enjoy performance must buy,0.425,positive
absolutely mind blow device beautiful shape excellent work nice performance verry easy usebut problem no battery storage work pluggedotherwise amaze,0.5262,positive
accept dutch language,0,neutral
accessibility limit amazon apps music appsexcellent use bluetooth speaker,-0.0905,negative
accha hain magar month baad issme pata ni kia hua chalta hi ni hain,0,neutral
accord work software no google spot not consider perfect sound good,0.77,positive
act family member,0,neutral
actually earlier not recognise voice think device manufacture issue but one thing realise amazon far far better e commerce company currently present india mean put bad review consider unknowning fact language change device not aware get call ireland call centre ask issue trust guy really impress way amazon customer service representatives handle issue face issue regard voice recognition particular device request help customer care will amaze help later usagefrom amazon user bye bye flipkart,0.0663,positive
actually pretty cool,0.3,positive
acutally gift old lady fully amaze enjoy alot wonderful item must buy every household,0.525,positive
ad ability india not workinglets see gcompany need work,0.5,positive
add feature otherwise good,0.6,positive
add youtube music hungama music amazon music dont songs specially nunur bape dome jore song not play alexa add youtube music will,0.3571,positive
addictive,0,neutral
ai improve things like google assistance like easy things google assistance nail but shop interlink amazon account useful,0.1778,positive
ai need improvement doent use google search doent recognise command quiet often animal sound need improvisation kid skills overall need updationvoice recognition n audio quality awesome pls update software,0.3333,positive
ai not good play track alexa dont understand us properly voice recognition poor volume,-0.0625,negative
ai system need improvement poor performance come song selection especially old hindi classic songs,-0.0333,negative
aint responsive voice command quality sound reproduction accoustics subpar say least,0.1,positive
alag alag se bolate rahte hain kabhi kam sunti,0,neutral
alex bluetooth not work,0,neutral
alexa,0,neutral
alexa,0,neutral
alexa,0,neutral
alexa absolutely foolish recognise ask simple language sound good mic good but know worst,0.12,positive
alexa absolutely wonder fast correct thr time witty really fascinate developers fit much humour plus voice always catch ones attention great device,0.4429,positive
alexa act stupid,-0.8,negative
alexa always better google homebut miss thingsmicro usb internal power,0.25,positive
alexa always super,0.3333,positive
alexa amaze,0.6,positive
alexa amaze,0.6,positive
alexa amaze say alexaand go make life easier lot,0.6,positive
alexa amazingsound quality great,0.8,positive
alexa amazingwe love,0.5,positive
alexa app not available download connect,-0.2,negative
alexa app recognise device gen echo dot device frustating device properly configure play musics well but shutdown device need reconfigured,0,neutral
alexa awesome bcoz give quick response,0.6667,positive
alexa awesome improvement but time cable conection not good,0.325,positive
alexa bad,-0.7,negative
alexa become family member even know sound quality ability integrate ones daily life home awesome info weather traffic snarl weve come depend bright new companion,0.4473,positive
alexa become one family members really fun interactive go blindly,-0.1,negative
alexa become part day night nice device google music play device love product,0.64,positive
alexa best,1,positive
alexa best product see long time recognise voice perfectly,0.65,positive
alexa best undoubtedly,1,positive
alexa best way transfer home smart home good sound quality hear senstivity great price,0.6229,positive
alexa better google assistant,0.5,positive
alexa cable not receive pack,0,neutral
alexa can not hear start play,0,neutral
alexa cant answer many thingsi dont find use except music player alarm,0.1875,positive
alexa change life completely thankyou alexa,0.1,positive
alexa come indian languages like odia,-0.125,negative
alexa cool give alexa,0.455,positive
alexa could not voice recognitionproduct not goodplease confirm replacement statusi m wait days no response u r side,0,neutral
alexa cute but not smart cant answer query but cute though,0.2976,positive
alexa device defective not respond complete installation process but device not work connect,0,neutral
alexa device good but bulb not much use without wifibulb work mobile data,0.1583,positive
alexa device good wont say best sometimes doesnt recognize voice overall would say value money purchase offer get smart blub wipro free amazon sale,0.4629,positive
alexa device speaker remarkable function precisely error voice recognition sound device fabulous wont regret buy alexa device smart buy smart,0.3964,positive
alexa doesnt full feature struggle reminder reminder doesnt work doesnt remember play list doesnt store multiple play list face problem retrieve multiple playlist cldnt find multilanguage recognition featureskill eg tamil usual issue payondelivery courier show resistance pay delivery cash otherwise everything perfect quality delivery,0.22,positive
alexa doesnt respond correctly alwaysalso would love see youtube available,0.45,positive
alexa doesnt understand command limit music options not much use,0.1095,positive
alexa doesnt understand command properlyi ask play sainyoo nee play sainya vei ask play play languages radio station dont understandit not able recognise wipro bulbi feed alexa want return back if possible,-0.0938,negative
alexa dont understand indian regional languages,0,neutral
alexa dot good nice sound quality super bass super clierty but amazon service poor poor,0.1621,positive
alexa dot mini like funny informative kind friendit available languagesbrilliant work amazon,0.4167,positive
alexa dumb compare google home think make mistake buy instead go ai assistant available market,-0.0333,negative
